player1;600;500
player2;400;500
1750;bomb;500;-100;0;3
2000;alien;275;-100;0;3
2500;bomb;500;-100;0;3
3250;bomb;500;-100;0;3
4000;bomb;500;-100;0;3
4000;bomb;425;-100;0;3
4000;bomb;350;-100;0;3
4000;bomb;275;-100;0;3
4000;bomb;200;-100;0;3
4000;bomb;125;-100;0;3
4000;bomb;50;-100;0;3
4750;bomb;500;-100;0;3
5500;bomb;500;-100;0;3
6250;bomb;500;-100;0;3
7000;bomb;500;-100;0;3
7750;bomb;500;-100;0;3
8500;bomb;500;-100;0;3
9250;bomb;500;-100;0;3
10000;bomb;500;-100;0;3
10750;bomb;500;-100;0;3
11500;bomb;500;-100;0;3
12250;bomb;500;-100;0;3
12250;alien;1100;350;-3;0
12250;bomb;1100;475;-3;0
12250;bomb;1100;225;-3;0
13000;bomb;500;-100;0;3
13750;bomb;500;-100;0;3
14500;bomb;500;-100;0;3
15250;bomb;500;-100;0;3
16000;bomb;500;-100;0;3
16750;bomb;500;-100;0;3
17250;alien;250;800;0;-3
17500;bomb;500;-100;0;3
18250;bomb;500;-100;0;3
21250;bomb;500;-100;0;3
22000;bomb;500;-100;0;3
22750;bomb;500;-100;0;3
23500;bomb;500;-100;0;3
24250;bomb;500;-100;0;3
25000;bomb;500;-100;0;3
25000;alien;600;-100;0;3
25000;bomb;750;-100;0;3
25000;alien;900;-100;0;3
25750;bomb;500;-100;0;3
26500;bomb;500;-100;0;3
27250;bomb;500;-100;0;3
28000;bomb;500;-100;0;3
28750;bomb;500;-100;0;3
29500;bomb;500;-100;0;3
32500;bomb;500;-100;0;3
33250;bomb;500;-100;0;3
34000;bomb;500;-100;0;3
34750;bomb;500;-100;0;3
35500;bomb;500;-100;0;3
35500;alien;100;800;0;-2
35500;bomb;250;800;0;-2
35500;bomb;400;800;0;-2
36250;bomb;500;-100;0;3
37000;bomb;500;-100;0;3
37750;bomb;500;-100;0;3
38500;bomb;500;-100;0;3
39250;bomb;500;-100;0;3
40000;bomb;500;-100;0;3
40000;bomb;100;800;0;-2
40000;bomb;250;800;0;-2
40000;alien;400;800;0;-2
40750;bomb;500;-100;0;3
41500;bomb;500;-100;0;3
42250;bomb;500;-100;0;3
43000;bomb;500;-100;0;3
43750;bomb;500;-100;0;3
44500;bomb;500;-100;0;3
44500;alien;100;800;0;-2
44500;bomb;250;800;0;-2
44500;bomb;400;800;0;-2
45250;bomb;500;-100;0;3
46000;bomb;500;-100;0;3
46750;bomb;500;-100;0;3
47500;bomb;500;-100;0;3
48250;bomb;500;-100;0;3
49000;bomb;500;-100;0;3
49000;bomb;100;800;0;-2
49000;alien;250;800;0;-2
49000;bomb;400;800;0;-2
49750;bomb;500;-100;0;3
50500;bomb;500;-100;0;3
51250;bomb;500;-100;0;3
52000;bomb;500;-100;0;3
52750;bomb;500;-100;0;3
53500;bomb;500;-100;0;3
53500;alien;100;800;0;-2
53500;bomb;250;800;0;-2
53500;alien;400;800;0;-2
54250;bomb;500;-100;0;3
55000;bomb;500;-100;0;3
55750;bomb;500;-100;0;3
56500;bomb;500;-100;0;3
57250;bomb;500;-100;0;3
58000;bomb;500;-100;0;3
58000;bomb;100;800;0;-2
58000;alien;250;800;0;-2
58000;bomb;400;800;0;-2
58750;bomb;500;-100;0;3
59500;bomb;500;-100;0;3
60250;bomb;500;-100;0;3
61000;bomb;500;-100;0;3
61750;bomb;500;-100;0;3
62500;bomb;500;-100;0;3
62500;alien;100;800;0;-2
62500;bomb;250;800;0;-2
62500;alien;400;800;0;-2
63250;bomb;500;-100;0;3
64000;bomb;500;-100;0;3
64750;bomb;500;-100;0;3
65500;bomb;500;-100;0;3
66250;bomb;500;-100;0;3
67000;bomb;500;-100;0;3
67750;bomb;500;-100;0;3
67750;bomb;500;800;0;-2
67750;bomb;425;800;0;-2
67750;bomb;350;800;0;-2
67750;bomb;275;800;0;-2
67750;bomb;200;800;0;-2
67750;bomb;125;800;0;-2
67750;bomb;50;800;0;-2
68500;bomb;500;-100;0;3
69250;bomb;500;-100;0;3
70000;bomb;500;-100;0;3
70750;bomb;500;-100;0;3
71500;bomb;500;-100;0;3
72250;bomb;500;-100;0;3
73000;bomb;500;-100;0;3
73750;bomb;500;-100;0;3
74500;bomb;500;-100;0;3
75250;bomb;500;-100;0;3
